Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,10 yr Probability,10 yr Supra-Seis Prob
2.5,2180.36,1434.9,3652.4,2048.0,2173.7,1.0,1.0
2.6,1732.95,1140.2,2897.7,1625.8,1729.1,1.0,1.0
2.7,1376.68,906.9,2305.1,1285.3,1375.4,1.0,1.0
2.8,1093.91,724.8,1823.5,1024.9,1098.3,1.0,1.0
2.9,870.32,572.1,1459.2,817.3,868.9,1.0,1.0
3.0,690.73,449.4,1163.3,646.6,690.9,1.0,1.0
3.1,548.59,360.6,922.7,508.6,545.2,1.0,1.0
3.2,435.63,288.6,728.0,399.6,435.6,1.0,1.0
3.3,345.91,227.4,578.0,315.0,347.0,1.0,1.0
3.4,274.81,181.8,460.9,246.6,275.2,1.0,1.0
3.5,218.34,142.7,365.5,199.0,219.6,1.0,1.0
3.6,173.0,112.5,287.4,160.8,170.9,1.0,1.0
3.7,137.53,89.1,225.2,128.9,135.9,1.0,1.0
3.8,109.84,70.3,180.1,104.3,109.6,1.0,1.0
3.9,87.35,55.9,142.0,82.3,88.9,1.0,1.0
4.0,69.63,44.6,115.6,65.8,70.9,1.0,1.0
4.1,55.22,37.0,91.3,52.8,53.7,1.0,1.0
4.2,43.81,28.5,71.3,42.5,47.5,1.0,1.0
4.3,34.5,21.8,57.0,33.1,34.0,1.0,1.0
4.4,27.14,16.8,44.8,25.3,27.8,1.0,1.0
4.5,21.23,12.5,35.7,19.6,19.6,1.0,1.0
4.6,16.72,8.6,28.3,16.4,17.7,1.0,1.0
4.7,13.47,7.0,23.1,13.2,13.9,1.0,1.0
4.8,10.83,5.3,18.5,10.7,11.8,1.0,1.0
4.9,8.55,4.4,14.2,8.4,9.4,1.0,1.0
5.0,6.71,3.1,11.8,6.3,6.6,1.0,1.0
5.1,5.4,2.8,9.9,5.2,5.4,1.0,1.0
5.2,4.37,2.8,7.9,4.1,4.6,1.0,1.0
5.3,3.49,2.2,6.1,3.4,3.4,1.0,1.0
5.4,2.76,1.7,4.7,2.7,2.9,1.0,1.0
5.5,2.14,1.1,4.1,2.0,2.1,1.0,1.0
5.6,1.76,1.0,3.3,1.6,1.6,1.0,1.0
5.7,1.41,0.8,2.7,1.3,1.3,1.0,1.0
5.8,1.1,0.4,2.1,1.0,1.0,1.0,1.0
5.9,0.87,0.1,1.5,0.9,0.9,1.0,0.9
6.0,0.7,0.1,1.3,0.7,0.8,1.0,0.9
6.1,0.55,0.1,0.8,0.6,0.7,1.0,0.9
6.2,0.46,0.1,0.7,0.5,0.6,1.0,0.9
6.3,0.41,0.0,0.7,0.4,0.4,0.9,0.9
6.4,0.32,0.0,0.6,0.3,0.3,0.9,0.8
6.5,0.22,0.0,0.3,0.2,0.3,0.9,0.7
6.6,0.17,0.0,0.3,0.2,0.3,0.8,0.7
6.7,0.13,0.0,0.3,0.1,0.2,0.7,0.6
6.8,0.07,0.0,0.2,0.0,0.0,0.4,0.4
6.9,0.06,0.0,0.2,0.0,0.0,0.4,0.4
7.0,0.06,0.0,0.2,0.0,0.0,0.4,0.4
7.1,0.03,0.0,0.1,0.0,0.0,0.3,0.2
7.2,0.02,0.0,0.1,0.0,0.0,0.2,0.1
7.3,0.01,0.0,0.1,0.0,0.0,0.1,0.1
7.4,0.01,0.0,0.1,0.0,0.0,0.1,0.1
7.5,0.01,0.0,0.1,0.0,0.0,0.1,0.1
7.6,0.01,0.0,0.1,0.0,0.0,0.1,0.1
7.7,0.01,0.0,0.1,0.0,0.0,0.1,0.1
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
