% Year	Month	Day	Hour	Minute	Sec	Lat	Lon	Depth	Magnitude	ID	parID	Gen	OrigTime	distToParent	nthERFIndex	FSS_ID	GridNodeIndex
2018	01	01	03	36	17.223	32.66824375059103	-116.16679926036277	5.46363678279682	3.05	420	-1	0	1514777777223	NaN	366163	-1	451
2018	01	01	13	38	22.890	37.0442808148373	-121.79812923156157	4.5464902241055105	2.9499999999999997	4130	-1	0	1514813902890	NaN	1097657	-1	3782
2018	01	01	17	06	10.575	38.78337170841758	-122.68447555794472	14.960226794444315	3.05	2794	-1	0	1514826370575	NaN	1387180	-1	5044
2018	01	01	20	44	40.168	34.673721976455504	-116.29471099872158	6.026513563221671	2.9499999999999997	2254	-1	0	1514839480168	NaN	675230	-1	1915
2018	01	02	03	30	05.220	40.76756896759799	-124.89077695594844	17.82335570621358	2.55	1957	-1	0	1514863805220	NaN	1657523	-1	6266
2018	01	02	15	05	03.203	36.393313912303576	-120.42522797714243	6.595663640140189	3.05	4582	-1	0	1514905503203	NaN	990977	-1	3321
2018	01	02	17	52	09.151	34.919937217386895	-118.85315680630674	13.219773434680997	4.75	8221	-1	0	1514915529151	NaN	706162	-1	2061
2018	01	02	21	47	41.776	34.92221104111131	-118.86071779177364	13.052310195566838	4.050000000000001	8511	8221	1	1514929661776	0.5871216949797131	706101	-1	2061
2018	01	02	21	52	08.955	34.92303266812282	-118.86730138532333	13.20050808462538	2.55	8519	8511	2	1514929928955	0.1601463878807163	706126	-1	2061
2018	01	03	04	54	29.627	34.21513938555773	-118.30492911362869	4.213223685254158	2.8499999999999996	8466	-1	0	1514955269627	NaN	581126	-1	1465
2018	01	03	09	04	40.000	40.4756816682173	-123.85960400205127	9.369624369642967	3.25	4400	-1	0	1514970280000	NaN	1617468	-1	6087
2018	01	03	09	37	06.485	40.46743882618001	-123.86043850676536	9.0113267697626	3.05	8521	4400	1	1514972226485	0.986634849499509	1617466	-1	6087
2018	01	03	09	43	59.134	31.980950266951346	-115.75468708060033	6.457889452757049	3.05	5573	-1	0	1514972639134	NaN	290173	-1	138
2018	01	03	15	53	21.061	32.96074310468167	-117.778454301701	6.098291759538914	2.55	1027	-1	0	1514994801061	NaN	399485	-1	589
2018	01	03	16	03	26.677	34.92723333143734	-118.85383084875843	16.298020027042362	2.55	8514	8221	1	1514995406677	3.4300575065051118	706086	-1	2061
