% Year	Month	Day	Hour	Minute	Sec	Lat	Lon	Depth	Magnitude	ID	parID	Gen	OrigTime	distToParent	nthERFIndex	FSS_ID	GridNodeIndex
2018	01	01	00	00	10.803	34.40113346780715	-117.73284958129985	12.126237788825213	2.75	317	0	1	1514764810803	0.13638307354757725	616883	-1	1642
2018	01	01	00	00	14.008	34.44170774488509	-117.85505380286075	9.708797089276883	2.65	515	0	1	1514764814008	0.35941510434195995	616692	-1	1641
2018	01	01	00	00	16.310	34.402690052248495	-117.76762776376637	0.9379924467789814	3.05	1605	0	1	1514764816310	0.19555212406622058	616734	-1	1641
2018	01	01	00	00	24.665	34.471814836020044	-117.90101376086388	11.56842519626693	2.65	1660	0	1	1514764824665	0.6844505146337136	634659	-1	1726
2018	01	01	00	00	26.199	34.25062289404916	-117.43467471851416	6.756681809220004	2.75	1017	0	1	1514764826199	0.29949528567631023	582514	-1	1474
2018	01	01	00	00	28.382	33.85276379753844	-117.51807218587737	17.35536647319222	3.45	265	0	1	1514764828382	43.97568389157338	533866	-1	1224
2018	01	01	00	00	32.193	34.373534281923035	-117.70049992993057	4.291966035004294	2.65	1399	0	1	1514764832193	2.126518243616781	616958	-1	1642
2018	01	01	00	00	38.665	34.24381666914978	-117.41022390493342	9.328201785761454	2.75	811	0	1	1514764838665	0.04127431483627554	582514	-1	1474
2018	01	01	00	00	40.404	34.440965558148726	-117.85061056421308	3.187560096425603	2.65	1184	0	1	1514764840404	0.1638979685019333	634887	-1	1727
2018	01	01	00	00	49.928	34.35160377472548	-117.61447159241129	11.190041947523312	2.55	730	0	1	1514764849928	0.4519711898918218	598754	-1	1557
2018	01	01	00	00	54.091	34.25731380393736	-117.41632953105356	5.808400031665036	2.55	118	0	1	1514764854091	0.18895228343149226	599063	-1	1559
2018	01	01	00	00	54.948	34.386686530764614	-117.75878442921925	1.2011231021110325	3.25	960	0	1	1514764854948	2.1832700051819223	616698	-1	1641
2018	01	01	00	00	57.288	34.38278721004843	-117.69050381024483	0.8626634670821338	2.55	1544	0	1	1514764857288	0.06527480872910547	616881	-1	1642
2018	01	01	00	01	01.013	34.932901209599585	-118.64482206056145	3.5827766782915065	2.55	709	0	1	1514764861013	89.67121950075412	706824	-1	2064
2018	01	01	00	01	01.298	34.369170690342074	-117.6348798235215	5.858008201227303	2.8499999999999996	426	0	1	1514764861298	2.0228217274437474	617074	-1	1643
2018	01	01	00	01	02.742	34.247826065846276	-117.42882165296072	2.465436544340255	2.65	1591	0	1	1514764862742	0.9219325006064345	582552	-1	1474
2018	01	01	00	01	07.447	34.31215483609663	-117.55623205611559	1.0261649445810401	2.9499999999999997	700	0	1	1514764867447	1.051711607712267	598719	-1	1557
2018	01	01	00	01	07.920	34.37781825608558	-117.30532864911895	2.5578822992619337	4.05	304	0	1	1514764867920	19.48492833008197	617972	-1	1646
2018	01	01	00	01	12.427	34.28561606637188	-117.49688229100317	10.072109931561666	2.55	297	0	1	1514764872427	0.7654828401896231	598793	-1	1558
2018	01	01	00	01	15.971	34.349406322776794	-117.60729036676116	8.731774414401777	2.55	772	0	1	1514764875971	0.15370440317893436	617071	-1	1643
2018	01	01	00	01	17.159	34.4144459168898	-117.77385076654534	2.1054015799619723	2.65	637	0	1	1514764877159	0.023255646737253104	616768	-1	1641
2018	01	01	00	01	18.453	34.458522270149395	-117.89882336160989	10.105477012045586	3.55	614	0	1	1514764878453	0.7007173030154106	634706	-1	1726
2018	01	01	00	01	19.340	34.385497607313475	-117.72860275421424	7.9986158282861135	2.9499999999999997	393	0	1	1514764879340	0.04326161515550762	616923	-1	1642
2018	01	01	00	01	21.951	34.34635346819577	-117.57586579147949	7.765549336080565	2.9499999999999997	1019	0	1	1514764881951	3.893408599521809	598680	-1	1557
2018	01	01	00	01	24.502	34.2647742822671	-117.42915415472469	12.903702331151853	3.15	1395	0	1	1514764884502	1.0377599374440614	599069	-1	1559
2018	01	01	00	01	28.790	34.40060203968279	-117.73969876598068	5.420845462498549	2.55	505	0	1	1514764888790	0.9747817189606369	616919	-1	1642
2018	01	01	00	01	29.324	34.27495825134017	-117.47459065643349	12.347876966746949	2.65	1418	0	1	1514764889324	0.36366852132211513	598833	-1	1558
2018	01	01	00	01	29.976	34.33045897156435	-117.59527156293198	3.1116325457281118	5.550000000000001	449	0	1	1514764889976	0.8489548007260339	598745	-1	1557
2018	01	01	00	01	42.597	34.462251007500306	-117.90200154405234	3.561782778439368	2.8499999999999996	1153	0	1	1514764902597	0.137587588137667	634737	-1	1726
2018	01	01	00	01	44.024	34.35275587811834	-117.66885793775249	6.949111634250779	2.55	328	0	1	1514764904024	3.2716444880208733	616957	-1	1642
2018	01	01	00	01	46.660	34.41499101692827	-117.76639631466136	12.284194301517786	2.65	481	0	1	1514764906660	0.2207588694599159	616692	-1	1641
2018	01	01	00	01	47.996	34.265888691907016	-117.4438977695512	7.095581221413522	3.25	1729	0	1	1514764907996	1.5654822909005885	599109	-1	1559
2018	01	01	00	01	58.306	34.47874653894797	-117.92205656880294	9.482640281090223	2.55	9	0	1	1514764918306	0.11556734200867273	634658	-1	1726
2018	01	01	00	02	02.736	34.43603739912048	-117.82665295300971	10.858894130153764	3.15	529	0	1	1514764922736	0.06831505487386133	616697	-1	1641
2018	01	01	00	02	05.317	34.44185725284645	-117.81238542110437	5.859501780268306	2.65	309	0	1	1514764925317	3.9300946803618904	616768	-1	1641
2018	01	01	00	02	08.427	34.34828288488517	-117.59336836850468	11.670480744705554	2.55	110	0	1	1514764928427	1.0173082248862533	617071	-1	1643
