Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,10 yr Probability,10 yr Supra-Seis Prob
2.5,2550.82,1789.1,3864.6,2337.6,2491.2,1.0,1.0
2.6,2019.9,1415.6,3049.3,1853.0,1968.6,1.0,1.0
2.7,1600.68,1131.5,2406.7,1465.1,1557.7,1.0,1.0
2.8,1273.0,892.1,1916.8,1169.4,1235.4,1.0,1.0
2.9,1009.42,708.3,1529.9,930.4,972.0,1.0,1.0
3.0,803.81,557.6,1222.4,736.6,773.6,1.0,1.0
3.1,638.69,444.2,962.5,590.7,618.6,1.0,1.0
3.2,507.2,354.2,762.5,468.9,492.5,1.0,1.0
3.3,402.7,280.4,609.9,370.1,389.2,1.0,1.0
3.4,320.68,219.9,488.2,292.3,309.0,1.0,1.0
3.5,254.09,173.4,385.2,231.5,245.6,1.0,1.0
3.6,202.9,140.0,307.0,185.6,197.3,1.0,1.0
3.7,160.76,111.4,249.1,146.9,154.3,1.0,1.0
3.8,127.42,90.2,198.3,116.0,116.0,1.0,1.0
3.9,101.26,72.1,156.6,93.2,98.2,1.0,1.0
4.0,80.57,59.3,127.3,73.8,78.8,1.0,1.0
4.1,64.24,45.9,104.6,59.0,61.3,1.0,1.0
4.2,51.3,37.5,84.4,47.4,48.9,1.0,1.0
4.3,40.93,29.8,67.8,37.8,38.1,1.0,1.0
4.4,32.4,23.1,52.9,29.9,30.1,1.0,1.0
4.5,25.76,18.1,42.3,23.5,23.8,1.0,1.0
4.6,20.43,14.5,33.5,19.2,19.8,1.0,1.0
4.7,16.52,11.0,27.2,15.6,15.9,1.0,1.0
4.8,13.01,8.0,21.1,12.1,12.1,1.0,1.0
4.9,10.39,6.6,16.7,9.8,8.9,1.0,1.0
5.0,8.58,5.2,13.5,8.0,8.4,1.0,1.0
5.1,6.64,3.9,10.6,6.3,6.4,1.0,1.0
5.2,5.17,2.7,8.6,4.9,5.0,1.0,1.0
5.3,4.09,2.3,6.2,3.8,3.8,1.0,1.0
5.4,3.22,1.9,4.6,3.0,3.0,1.0,1.0
5.5,2.58,1.5,3.8,2.4,2.4,1.0,1.0
5.6,2.03,0.9,2.9,2.0,2.4,1.0,1.0
5.7,1.65,0.9,2.6,1.7,1.7,1.0,1.0
5.8,1.26,0.6,2.2,1.3,1.3,1.0,1.0
5.9,0.94,0.3,1.8,1.0,1.1,1.0,1.0
6.0,0.73,0.1,1.5,0.7,0.9,1.0,0.9
6.1,0.62,0.0,1.3,0.7,0.7,0.9,0.9
6.2,0.52,0.0,1.3,0.4,0.4,0.9,0.9
6.3,0.42,0.0,0.9,0.4,0.4,0.9,0.9
6.4,0.29,0.0,0.8,0.2,0.2,0.9,0.9
6.5,0.21,0.0,0.6,0.1,0.1,0.9,0.9
6.6,0.18,0.0,0.6,0.1,0.1,0.9,0.9
6.7,0.14,0.0,0.4,0.1,0.1,0.9,0.8
6.8,0.12,0.0,0.3,0.1,0.1,0.9,0.8
6.9,0.09,0.0,0.2,0.1,0.1,0.8,0.7
7.0,0.09,0.0,0.2,0.1,0.1,0.8,0.7
7.1,0.07,0.0,0.2,0.1,0.1,0.6,0.6
7.2,0.03,0.0,0.1,0.0,0.0,0.3,0.3
7.3,0.03,0.0,0.1,0.0,0.0,0.3,0.3
7.4,0.01,0.0,0.1,0.0,0.0,0.1,0.1
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
