Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,10 yr Probability,10 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,4356.6,3712.0,5037.0,4188.0,4290.0,1.0,0.3,2398.3
2.6,3470.3,2968.0,3978.0,3375.0,3434.0,1.0,0.3,1909.0
2.7,2760.2,2355.0,3143.0,2667.0,2721.0,1.0,0.3,1526.1
2.8,2191.7,1849.0,2527.0,2135.0,2157.0,1.0,0.3,1215.2
2.9,1737.6,1469.0,2008.0,1675.0,1701.0,1.0,0.3,966.5
3.0,1385.8,1146.0,1600.0,1350.0,1363.0,1.0,0.3,764.9
3.1,1096.9,936.0,1266.0,1054.0,1087.0,1.0,0.3,609.3
3.2,875.6,738.0,1008.0,844.0,894.0,1.0,0.3,485.2
3.3,696.1,588.0,810.0,664.0,720.0,1.0,0.3,382.7
3.4,554.5,481.0,664.0,521.0,481.0,1.0,0.3,304.4
3.5,440.0,370.0,537.0,436.0,439.0,1.0,0.3,239.9
3.6,344.4,286.0,428.0,351.0,369.0,1.0,0.3,188.8
3.7,275.2,228.0,358.0,261.0,280.0,1.0,0.3,151.3
3.8,215.3,176.0,278.0,210.0,226.0,1.0,0.3,119.1
3.9,168.3,135.0,216.0,170.0,135.0,1.0,0.3,93.3
4.0,133.0,104.0,166.0,129.0,136.0,1.0,0.3,74.3
4.1,102.9,79.0,133.0,96.0,110.0,1.0,0.3,57.5
4.2,81.5,63.0,103.0,80.0,81.0,1.0,0.3,45.8
4.3,64.5,53.0,76.0,64.0,66.0,1.0,0.3,35.4
4.4,50.5,40.0,63.0,49.0,58.0,1.0,0.3,28.2
4.5,39.4,28.0,50.0,39.0,41.0,1.0,0.3,21.8
4.6,30.5,19.0,41.0,31.0,33.0,1.0,0.3,16.6
4.7,24.8,14.0,34.0,25.0,25.0,1.0,0.3,13.8
4.8,20.2,11.0,27.0,18.0,18.0,1.0,0.3,11.2
4.9,16.3,7.0,22.0,16.0,19.0,1.0,0.3,9.2
5.0,12.9,3.0,18.0,13.0,16.0,1.0,0.3,7.6
5.1,9.3,2.0,17.0,9.0,10.0,1.0,0.3,5.6
5.2,7.7,2.0,17.0,7.0,8.0,1.0,0.3,4.3
5.3,6.4,2.0,15.0,6.0,6.0,1.0,0.3,3.7
5.4,4.6,1.0,11.0,3.0,3.0,1.0,0.3,2.6
5.5,3.6,0.0,9.0,2.0,2.0,0.9,0.3,2.2
5.6,2.2,0.0,4.0,2.0,4.0,0.8,0.3,1.5
5.7,1.5,0.0,3.0,2.0,0.0,0.6,0.3,1.2
5.8,1.3,0.0,3.0,1.0,0.0,0.6,0.3,1.1
5.9,1.0,0.0,3.0,1.0,1.0,0.6,0.3,0.8
6.0,0.7,0.0,3.0,0.0,0.0,0.4,0.3,0.6
6.1,0.6,0.0,2.0,0.0,0.0,0.4,0.3,0.5
6.2,0.2,0.0,1.0,0.0,0.0,0.2,0.1,0.2
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
