Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20587009,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0
0.41174018,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0
0.6176103,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0
0.82348037,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0
1.0293504,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
1.2352206,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
1.4410906,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
1.6469607,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
1.8528308,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
2.0587008,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
2.264571,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
2.470441,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
2.6763113,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
2.8821812,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
3.0880513,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
3.2939215,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
3.4997916,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
3.7056615,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
3.9115317,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
4.1174016,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
4.3232718,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
4.529142,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
4.735012,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
4.940882,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
5.1467524,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
5.3526225,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
5.5584927,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
5.7643623,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
5.9702325,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
6.1761026,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
6.381973,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
6.587843,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
6.793713,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
6.9995832,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
7.2054534,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
7.411323,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
7.617193,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
7.8230634,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
8.028934,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
8.234803,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
8.440674,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
8.6465435,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
8.852414,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
9.058284,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
9.264154,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
