Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,325.0,610.7,589.0,621.0,516.0,722.0,516.0,524.0,707.0,722.0
2.65,267.0,485.0,501.0,510.0,395.0,557.0,395.0,420.0,533.0,557.0
2.75,267.0,391.2,377.0,404.0,318.0,492.0,318.0,352.0,419.0,492.0
2.85,183.0,317.2,341.0,351.0,263.0,355.0,263.0,267.0,351.0,355.0
2.95,136.0,244.0,222.0,267.0,214.0,275.0,214.0,215.0,271.0,275.0
3.05,138.0,199.3,194.0,200.0,147.0,233.0,147.0,174.0,230.0,233.0
3.15,108.0,153.3,143.0,143.0,126.0,191.0,126.0,131.0,179.0,191.0
3.25,106.0,120.3,119.0,132.0,100.0,136.0,100.0,105.0,132.0,136.0
3.35,79.0,96.2,93.0,108.0,73.0,108.0,73.0,91.0,108.0,108.0
3.45,99.0,78.8,76.0,85.0,53.0,102.0,53.0,65.0,90.0,102.0
3.55,88.0,65.1,64.0,65.0,45.0,80.0,45.0,56.0,77.0,80.0
3.65,64.0,48.8,48.0,49.0,38.0,64.0,38.0,39.0,56.0,64.0
3.75,25.0,41.1,41.0,43.0,33.0,50.0,33.0,36.0,48.0,50.0
3.85,28.0,31.5,31.0,33.0,22.0,47.0,22.0,22.0,36.0,47.0
3.95,25.0,22.5,20.0,20.0,10.0,33.0,10.0,17.0,32.0,33.0
4.05,21.0,20.8,19.0,22.0,13.0,28.0,13.0,16.0,27.0,28.0
4.15,12.0,14.2,13.0,13.0,8.0,22.0,8.0,11.0,17.0,22.0
4.25,6.0,12.9,11.0,11.0,6.0,21.0,6.0,10.0,17.0,21.0
4.35,9.0,8.8,8.0,7.0,6.0,13.0,6.0,7.0,11.0,13.0
4.45,6.0,7.5,7.0,8.0,4.0,11.0,4.0,5.0,10.0,11.0
4.55,10.0,6.4,6.0,6.0,3.0,12.0,3.0,4.0,9.0,12.0
