Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob,Primary Aftershocks Mean
2.5,514.4,440.0,635.0,497.0,503.0,1.0,0.2,455.0
2.6,409.9,354.0,516.0,398.0,401.0,1.0,0.2,360.8
2.7,325.3,288.0,396.0,314.0,315.0,1.0,0.2,288.1
2.8,259.0,220.0,315.0,246.0,252.0,1.0,0.2,228.9
2.9,206.2,183.0,248.0,194.0,195.0,1.0,0.2,182.0
3.0,163.7,140.0,198.0,154.0,154.0,1.0,0.2,143.6
3.1,130.2,111.0,157.0,124.0,130.0,1.0,0.2,115.3
3.2,102.2,81.0,128.0,99.0,100.0,1.0,0.2,90.1
3.3,81.8,60.0,104.0,81.0,82.0,1.0,0.2,72.1
3.4,65.9,49.0,77.0,67.0,77.0,1.0,0.2,57.8
3.5,51.4,36.0,62.0,53.0,54.0,1.0,0.2,44.9
3.6,40.8,27.0,50.0,41.0,44.0,1.0,0.2,35.5
3.7,32.5,24.0,41.0,32.0,31.0,1.0,0.2,28.1
3.8,26.3,21.0,34.0,25.0,27.0,1.0,0.2,22.7
3.9,20.0,15.0,27.0,18.0,16.0,1.0,0.2,17.2
4.0,16.6,11.0,23.0,16.0,16.0,1.0,0.2,14.3
4.1,12.4,9.0,19.0,11.0,11.0,1.0,0.2,10.9
4.2,10.0,5.0,15.0,9.0,9.0,1.0,0.2,8.9
4.3,7.3,3.0,12.0,7.0,7.0,1.0,0.2,6.3
4.4,6.2,3.0,11.0,5.0,5.0,1.0,0.2,5.6
4.5,4.8,2.0,9.0,4.0,3.0,1.0,0.2,4.3
4.6,3.6,1.0,7.0,3.0,3.0,1.0,0.2,3.5
4.7,3.0,0.0,5.0,3.0,3.0,0.9,0.2,2.9
4.8,2.7,0.0,5.0,2.0,2.0,0.9,0.2,2.6
4.9,2.1,0.0,4.0,1.0,1.0,0.9,0.2,2.1
5.0,1.9,0.0,4.0,1.0,1.0,0.9,0.2,1.9
5.1,1.3,0.0,4.0,1.0,1.0,0.7,0.2,1.3
5.2,1.2,0.0,3.0,1.0,1.0,0.7,0.2,1.2
5.3,1.1,0.0,3.0,1.0,1.0,0.7,0.2,1.1
5.4,0.8,0.0,3.0,0.0,0.0,0.5,0.2,0.8
5.5,0.7,0.0,3.0,0.0,0.0,0.4,0.2,0.7
5.6,0.6,0.0,2.0,0.0,0.0,0.4,0.2,0.6
5.7,0.6,0.0,2.0,0.0,0.0,0.4,0.2,0.6
5.8,0.6,0.0,2.0,0.0,0.0,0.4,0.2,0.6
5.9,0.5,0.0,2.0,0.0,0.0,0.4,0.2,0.5
6.0,0.4,0.0,2.0,0.0,0.0,0.3,0.2,0.4
6.1,0.4,0.0,2.0,0.0,0.0,0.3,0.2,0.4
6.2,0.2,0.0,1.0,0.0,0.0,0.2,0.1,0.2
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
