Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,2021.0,2996.9,3012.0,3130.0,2584.0,3434.0,2584.0,2591.0,3349.0,3434.0
2.6,1696.0,2386.2,2423.0,2509.0,2059.0,2712.0,2059.0,2060.0,2642.0,2712.0
2.7,1429.0,1901.2,1922.0,1999.0,1631.0,2180.0,1631.0,1640.0,2085.0,2180.0
2.8,1162.0,1510.0,1545.0,1595.0,1279.0,1688.0,1279.0,1322.0,1679.0,1688.0
2.9,979.0,1192.8,1203.0,1254.0,1012.0,1333.0,1012.0,1053.0,1328.0,1333.0
3.0,843.0,948.8,981.0,985.0,798.0,1062.0,798.0,838.0,1058.0,1062.0
3.1,705.0,749.5,764.0,789.0,643.0,837.0,643.0,651.0,829.0,837.0
3.2,597.0,596.2,614.0,637.0,509.0,670.0,509.0,511.0,666.0,670.0
3.3,491.0,475.9,485.0,514.0,390.0,538.0,390.0,398.0,530.0,538.0
3.4,412.0,379.7,382.0,422.0,299.0,446.0,299.0,302.0,422.0,446.0
3.5,313.0,300.9,312.0,332.0,224.0,361.0,224.0,249.0,335.0,361.0
3.6,225.0,235.8,249.0,255.0,179.0,288.0,179.0,181.0,268.0,288.0
3.7,161.0,187.0,185.0,201.0,141.0,239.0,141.0,142.0,220.0,239.0
3.8,136.0,145.9,148.0,156.0,106.0,189.0,106.0,108.0,177.0,189.0
3.9,108.0,114.4,120.0,122.0,84.0,142.0,84.0,85.0,141.0,142.0
4.0,83.0,91.9,95.0,109.0,65.0,109.0,65.0,69.0,109.0,109.0
4.1,62.0,71.1,73.0,73.0,48.0,90.0,48.0,55.0,87.0,90.0
4.2,50.0,56.9,56.0,67.0,37.0,71.0,37.0,44.0,68.0,71.0
4.3,44.0,44.0,45.0,54.0,31.0,54.0,31.0,34.0,54.0,54.0
