Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2058397,54.0,29.1,30.0,30.0,18.0,37.0,18.0,24.0,35.0,37.0
0.4116794,61.0,34.6,34.0,35.0,24.0,42.0,24.0,28.0,42.0,42.0
0.6175191,62.0,38.3,38.0,39.0,27.0,47.0,27.0,29.0,46.0,47.0
0.8233588,62.0,41.5,40.0,49.0,28.0,52.0,28.0,32.0,49.0,52.0
1.0291985,63.0,43.6,42.0,53.0,28.0,53.0,28.0,33.0,53.0,53.0
1.2350382,64.0,45.5,43.0,55.0,28.0,58.0,28.0,36.0,55.0,58.0
1.4408779,65.0,47.2,45.0,49.0,30.0,60.0,30.0,36.0,59.0,60.0
1.6467175,65.0,48.9,45.0,55.0,30.0,62.0,30.0,38.0,61.0,62.0
1.8525573,65.0,49.5,47.0,55.0,30.0,64.0,30.0,39.0,61.0,64.0
2.058397,65.0,50.7,49.0,56.0,32.0,65.0,32.0,40.0,61.0,65.0
2.2642367,65.0,51.7,52.0,57.0,34.0,65.0,34.0,41.0,61.0,65.0
2.4700763,65.0,53.0,57.0,58.0,34.0,67.0,34.0,42.0,62.0,67.0
2.675916,65.0,54.3,57.0,46.0,34.0,69.0,34.0,44.0,65.0,69.0
2.8817558,65.0,54.6,57.0,58.0,34.0,69.0,34.0,44.0,66.0,69.0
3.0875955,65.0,55.2,58.0,59.0,35.0,69.0,35.0,44.0,66.0,69.0
3.293435,65.0,55.8,58.0,60.0,35.0,69.0,35.0,46.0,67.0,69.0
3.4992747,65.0,56.5,59.0,60.0,35.0,69.0,35.0,47.0,67.0,69.0
3.7051146,65.0,56.8,59.0,67.0,35.0,70.0,35.0,47.0,67.0,70.0
3.9109542,66.0,57.1,59.0,68.0,36.0,70.0,36.0,47.0,68.0,70.0
4.116794,66.0,57.4,59.0,61.0,37.0,71.0,37.0,48.0,68.0,71.0
4.3226337,66.0,57.4,59.0,61.0,37.0,71.0,37.0,48.0,68.0,71.0
4.5284734,67.0,58.0,59.0,68.0,39.0,71.0,39.0,48.0,68.0,71.0
4.734313,69.0,58.7,60.0,61.0,39.0,73.0,39.0,49.0,69.0,73.0
4.9401526,71.0,58.9,61.0,61.0,39.0,73.0,39.0,49.0,70.0,73.0
5.1459923,72.0,59.1,61.0,61.0,39.0,73.0,39.0,50.0,71.0,73.0
5.351832,73.0,59.5,61.0,61.0,40.0,75.0,40.0,50.0,71.0,75.0
5.5576715,73.0,59.8,61.0,50.0,40.0,77.0,40.0,50.0,71.0,77.0
5.7635117,73.0,60.4,61.0,64.0,40.0,77.0,40.0,50.0,72.0,77.0
5.9693513,74.0,60.5,61.0,64.0,41.0,77.0,41.0,50.0,72.0,77.0
6.175191,74.0,61.4,64.0,64.0,42.0,80.0,42.0,50.0,72.0,80.0
6.3810306,74.0,61.6,64.0,64.0,42.0,80.0,42.0,50.0,72.0,80.0
6.58687,75.0,62.3,64.0,52.0,43.0,81.0,43.0,52.0,72.0,81.0
6.79271,75.0,62.9,65.0,65.0,44.0,81.0,44.0,52.0,73.0,81.0
6.9985495,75.0,63.3,65.0,65.0,45.0,81.0,45.0,53.0,73.0,81.0
