Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20587009,123.0,73.9,73.0,74.0,62.0,95.0,62.0,63.0,84.0,95.0
0.41174018,197.0,135.1,130.0,138.0,118.0,164.0,118.0,120.0,157.0,164.0
0.6176103,240.0,190.2,184.0,191.0,166.0,217.0,166.0,171.0,213.0,217.0
0.82348037,281.0,242.9,229.0,232.0,207.0,289.0,207.0,209.0,278.0,289.0
1.0293504,313.0,298.9,276.0,286.0,253.0,359.0,253.0,264.0,354.0,359.0
1.2352206,347.0,348.9,334.0,315.0,287.0,413.0,287.0,315.0,405.0,413.0
1.4410906,387.0,404.9,383.0,416.0,341.0,477.0,341.0,357.0,464.0,477.0
1.6469607,416.0,449.6,422.0,469.0,373.0,538.0,373.0,393.0,515.0,538.0
1.8528308,448.0,483.2,452.0,513.0,396.0,581.0,396.0,414.0,557.0,581.0
2.0587008,466.0,518.6,487.0,556.0,420.0,622.0,420.0,447.0,581.0,622.0
2.264571,492.0,550.8,518.0,589.0,452.0,655.0,452.0,472.0,613.0,655.0
2.470441,513.0,582.4,564.0,617.0,467.0,687.0,467.0,495.0,656.0,687.0
2.6763113,535.0,609.2,594.0,637.0,481.0,712.0,481.0,515.0,706.0,712.0
2.8821812,552.0,633.0,614.0,663.0,500.0,753.0,500.0,533.0,727.0,753.0
3.0880513,560.0,651.8,634.0,672.0,518.0,774.0,518.0,550.0,740.0,774.0
3.2939215,582.0,672.9,651.0,690.0,534.0,797.0,534.0,567.0,764.0,797.0
3.4997916,593.0,694.5,677.0,714.0,545.0,821.0,545.0,590.0,786.0,821.0
3.7056615,605.0,711.4,697.0,728.0,560.0,837.0,560.0,602.0,800.0,837.0
3.9115317,626.0,730.8,718.0,750.0,577.0,872.0,577.0,608.0,824.0,872.0
4.1174016,633.0,746.9,733.0,765.0,591.0,894.0,591.0,628.0,842.0,894.0
4.3232718,652.0,760.6,743.0,784.0,608.0,911.0,608.0,630.0,852.0,911.0
4.529142,672.0,774.7,759.0,803.0,625.0,931.0,625.0,638.0,863.0,931.0
4.735012,688.0,791.6,777.0,821.0,637.0,951.0,637.0,653.0,877.0,951.0
